JPMBB13C17		301171001	3	20150717	90000000	90000000	20150701		0.0483334	20231101	0.000113					0.000005	0.0482154					362500.5	0	362500.5											90000000	0	0	0	0	N											21761731	7957924.8	13803806.2	11026056.49	1.25	0.97	20141231	20880780	5596330	15284450	11026057	1.39	0.99	20131231	5483836	1816893	3666943	2718754	1.35	0.94	20150101	20150331	20130910	365000000							YN		20131230	20131230	1				CMSA		13741806.2	1.25	15222450	1.38	3651443	1.34	X												N		225000000	H																				WF	S
JPMBB13C17		301410001	1	20150717	117254586	117082691.8	20150701		0.04366	20240101	0.000113					0.000005	0.043542					426611.27	171894.2	598505.47											117082691.8	0	0	0	0	N											32883064	11451799	21431265	13167121	1.63	0.98	20141231	33327307	10380496	22946811	13167121	1.74	0.98	20131231	7854303	2604244	5250059	3291780	1.59	0.93	20150101	20150331	20131115	366000000							YN		20131230	20131230	1				CMSA		20531563	1.56	22047109	1.67	5025134	1.53	X												N		220000000	S2																				WF	S
JPMBB13C17		301410002	2	20150717	93900000	93900000	20150701		0.049127	20231101	0.000213					0.000005	0.048909					384418.78	0	384418.78											93900000	0	0	0	0	N											11708936	2077209	9631727	4677091	2.06	1	20141231								2942573	547076	2395497	1153258	2.08	1	20150101	20150331		125500000							YN		20131230	20131230	7				CMSA		8665319	1.85			2153899	1.87	X					727.15	577185.83						N		93900000	H																				WF	S
JPMBB13C17		301410004	4	20150717	73125000	73125000	20150701		0.0487	20231201	0.000113					0.000005	0.048582					296765.62	0	296765.62											73125000	0	0	0	0	N											14621821	5699510	8922311	3610648	2.47	0.86	20141231																20131015	123000000									20131230	20131230	1				CMSA		7372385	2.04					N						802065.17						N		73125000	H																				WF	S
JPMBB13C17		301410007	7	20150717	31000000	31000000	20150701		0.0492	20231101	0.000413					0.000005	0.048782					127100	0	127100											31000000	0	0	0	0	N											3251572	803278	2448294	1546383	1.58	1	20141231								937134	203833	733301	381300	1.92	0.89	20150101	20150331	20130918	51000000							YN		20131230	20131230	1				CMSA		2310988	1.49			698976	1.83	X					4.92	61327.02						N		31000000	S1																				WF	S
JPMBB13C17		301410008	8	20150717	30000000	30000000	20150701		0.049875	20231201	0.000313					0.000005	0.049557					124687.5	0	124687.5											30000000	0	0	0	0	N											4868845	2067137	2801708	1517031	1.85	0.89	20141231								1312719	736157	576562	374063	1.54	0.9	20150101	20150331	20131009	39000000							YN		20131230	20131230	1				CMSA		2525705	1.66			507562	1.36	X					1739.92	4287055.13						N		30000000	S2																				WF	S
JPMBB13C17		301410009	9	20150717	29301015.68	29261241.99	20150701		0.048675	20231101	0.000113					0.000005	0.048557					118852.24	39773.69	158625.93											29261241.99	0	0	0	0	N											4995104	2540764	2454340	1903511	1.29	0.83	20141231								1410366	538463	871903	475877	1.83	0.83	20150101	20150331	20130918	43000000							YN		20131230	20131230	1				CMSA	20150410	2164366	1.14			799410	1.68	X					165.06	602551.66						N		30000000	S1																				WF	S
JPMBB13C17		301410010	10	20150717	10005000	10005000	20150701		0.05	20231101	0.000588					0.000005	0.049407					41687.5	0	41687.5											10005000	0	0	0	0	N											2782658	1507592	1275066	507197	2.51	0.94	20141231								719569	382520	337049	125062	2.7	0.97	20150101	20150331	20130918	17300000							YN		20131230	20131230	1				CMSA		1123183	2.21			299078	2.39	X					50.84	157428.74						N		10005000	S1																				WF	S
JPMBB13C17		301410011	11	20150717	9305000	9305000	20150701		0.05	20231101	0.000588					0.000005	0.049407					38770.83	0	38770.83											9305000	0	0	0	0	N											2652848	1409019	1243829	471712	2.64	0.94	20141231								693401	348905	344496	117928	2.92	0.97	20150101	20150331	20130918	17400000							YN		20131230	20131230	1				CMSA		1122741	2.38			314224	2.66	X					38.58	116667.55						N		9305000	S1																				WF	S
JPMBB13C17		301410012	12	20150717	8940000	8940000	20150701		0.05	20231101	0.000588					0.000005	0.049407					37250	0	37250											8940000	0	0	0	0	N											2440247	1273716	1166531	453209	2.57	0.97	20141231								654884	311696	343188	111750	3.07	0.94	20150101	20150331	20130918	15200000							YN		20131230	20131230	1				CMSA		1067612	2.36			318458	2.85	X					35.31	106392.87						N		8940000	S1																				WF	S
