JPMBB13C17,,301410013,13,20160415,25375000,25375000,20160401,,0.0474,20231201,0.000113,,,,,0.000005,0.047282,,,,,103572.29,0,103572.29,,,,,,,,,,,25375000,0,0,0,0,N,,,,,,,,,,,5202385,2444507,2757878,1219480,2.26,0.85,20151231,5532300,2183805,3348495,1219480,2.75,0.92,20141231,,,,,,,,,20131010,39600000,,,,,,,,,20131230,20131230,1,,,,CREFC,,2205554,1.81,2796171,2.29,,,N,,,,,,1243189.33,20160211,,,,,N,,25375000,S2,,,,,,,,,,,,,,,,,,,,WF,S
JPMBB13C17,,301410018,18,20160415,16000000,16000000,20160401,,0.0482,20231101,0.000113,,,,,0.000005,0.048082,,,,,66408.89,0,66408.89,,,,,,,,,,,16000000,0,0,0,0,N,,,,,,,,,,,2714565,528468,2186097,781911,2.8,1,20151231,2698871,538289,2160582,781912,2.76,1,20141231,,,,,,,,,20130926,29000000,,,,,,,YN,,20131230,20131230,1,,,,CREFC,20140528,2031971,2.6,2006456,2.57,,,N,,,,,,,,,,,,N,,16000000,H,,,,,,,,,,,,,,,,,,,,WF,S
JPMBB13C17,,301410019,19,20160415,15000000,15000000,20160401,,0.048475,20231101,0.000113,,,,,0.000005,0.048357,,,,,62613.54,0,62613.54,,,,,,,,,,,15000000,0,0,0,0,N,,,,,,,,,,,3492397,1813750,1678647,737224,2.28,0.95,20151231,3319421,1757755,1561666,737224,2.12,0.95,20141231,,,,,,,,,20130822,22700000,,,,,,,,,20131230,20131230,1,,,,CREFC,,1573647,2.13,1456666,1.98,,,X,,,,,,53889.63,,,,,,N,,15000000,S2,,,,,,,,,,,,,,,,,,,,WF,S
JPMBB13C17,,301410020,20,20160415,14199256.86,14182137.53,20160401,,0.0512,20240101,0.000113,,,,,0.000005,0.051082,,,,,62602.95,17119.33,79722.28,,,,,,,,,,,14182137.53,0,0,0,0,N,,,,,,,,,,,2462785,862726,1600059,937368,1.71,1,20141231,,,,,,,,1902780,646031,1256749,717501,1.75,1,20150101,20150930,20131111,19940000,,,,,,,YN,,20131230,20131230,1,,,,CREFC,,1581059,1.69,,,1242499,1.73,N,,,,,,48538.09,,,,,,N,,14650000,N,,,,,,,,,,,,,,,,,,,,WF,S
JPMBB13C17,,301410021,21,20160415,13825046.9,13807815.33,20160405,,0.0502,20231105,0.000513,,,,,0.000005,0.049682,,,,,59762.61,17231.57,76994.18,,,,,,,,,,,13807815.33,0,0,0,0,N,,,,,,,,,,,2602249,1323875,1278374,923930,1.38,0.85,20151231,2563502,1166896,1396606,923930,1.51,0.96,20141231,,,,,,,,,20131010,19100000,,,,,,,,,20131230,20131230,1,,,,CREFC,,1207374,1.31,1325606,1.43,,,X,,,,,250.59,57580.39,,,,,,N,,14310000,S2,,,,,,,,,,,,,,,,,,,,WF,S
JPMBB13C17,,301410024,24,20160415,12566368.1,12550978.73,20160401,,0.051024,20231101,0.000113,,,,,0.000005,0.050906,,,,,55213.27,15389.37,70602.64,,,,,,,,,,,12550978.73,0,0,0,0,N,,,,,,,,,,,3222935,1665309,1557626,847231,1.84,0.78,20151231,3212803,1758063,1454740,847231,1.72,0.83,20141231,,,,,,,,,20130924,18100000,,,,,,,,,20131230,20131230,1,,,,CREFC,,1233827,1.46,1130941,1.33,,,N,,,,,8.49,377107.65,,,,,,N,,13000000,H,,,,,,,,,,,,,,,,,,,,WF,S
JPMBB13C17,,301410026,26,20160415,11420926.33,11406982.83,20160401,,0.050875,20231201,0.000113,,,,,0.000005,0.050757,,,,,50033.97,13943.5,63977.47,,,,,,,,,,,11406982.83,0,0,0,0,N,,,,,,,,,,,4514436,3078107,1436329,767730,1.87,0.79,20151231,3978461,2560729,1417732,767729,1.85,0.71,20141231,,,,,,,,,20131001,19000000,,,,,,,,,20131230,20131230,1,,,,CREFC,,1284435,1.67,1265838,1.65,,,X,,,,,,370427.73,,,,,,N,,11800000,S1,,,,,,,,,,,,,,,,,,,,WF,S
JPMBB13C17,,301410027,27,20160415,11199339.41,11183985.87,20160401,,0.04563,20181101,0.000113,,,,,0.000005,0.045512,,,,,44005,15353.54,59358.54,,,,,,,,,,,11183985.87,0,0,0,0,N,,,,,,,,,,,3456625,1734502,1722123,712302,2.42,0.89,20151231,2390304,1897928,492376,712302,0.69,0.91,20141231,,,,,,,,,20130619,15700000,,,,,,,,,20131230,20131230,1,,,,CREFC,,1570017,2.2,340270,0.48,,,N,,,,,10.09,301588.33,,,,,,N,,11629000,S2,,,,,,,,,,,,,,,,,,,,WF,S
JPMBB13C17,,301410028,28,20160415,11116971.71,11102845.58,20160401,,0.049,20231201,0.000113,,,,,0.000005,0.048882,,,,,46907.44,14126.13,61033.57,,,,,,,,,,,11102845.58,0,0,0,0,N,,,,,,,,,,,1257048,213967,1043081,732402,1.42,1,20151231,1260191,196054,1064137,732402,1.45,1,20141231,,,,,,,,,20130924,17080000,,,,,,,,,20131230,20131230,1,,,,CREFC,,984218,1.34,1005274,1.37,,,N,,,,,38.01,157461.4,,,,,,N,,11500000,S1,,,,,,,,,,,,,,,,,,,,WF,S
JPMBB13C17,,301410029,29,20160415,10843157.81,10830040.46,20160405,,0.0513,20231205,0.000113,,,,,0.000005,0.051182,,,,,47899.65,13117.35,61017,,,,,,,,,,,10830040.46,0,0,0,0,N,,,,,,,,,,,3758424,2483187,1275237,732204,1.74,0.71,20151231,,,,,,,,,,,,,,,,20131031,16500000,,,,,,,,,20131230,20131230,1,,,,CREFC,,1125028,1.54,,,,,N,,,,,,25597.7,,,,,,N,,11200000,S2,,,,,,,,,,,,,,,,,,,,WF,S
